GPA :,Per_min_OnRoad,Per_hours_At_College,Per_days_attendance
2.04,240,4,4
3.22,120,7,5
2.92,30,4,5
3.5,60,5,4
2.86,140,4,4
3.18,70,6,5
3,5,5,5
2.54,210,7,3
3.8,200,4,1
2.6,60,4,2
2.4,95,6,3
2.4,210,8,1
2,180,6,5
3.61,5,4,3
2.5,85,4,4
3.1,190,4,4
2.73,180,7,5
3.07,60,7,4
2.7,15,8,5
2.8,120,4,4
3.12,80,4.8,5
3.27,120,3,4
3.1,90,7,5
2.75,210,6,5
3.04,50,8,3
2.85,60,8,5
3.45125,300,8,4
3.04,150,6,5
2.67,70,4,4
3.3,180,8,4
2.25,180,6,3
3.35,10,5,6
2.6,90,6.5,4
3.19,300,5,5
3.53,55,6,5
2.7,180,6,4
2.7,120,6,5
2.76,220,6,4
2.9,10,5,4
3.2,110,8,2
2.4,125,6,5
3,90,6,3
3.1,260,6,4
2.56,5,9,2
2.5,60,5,4
2.85,240,10,4
2.3,120,8,5
2.8,5,9,5
2.55,125,6,5
3.09,90,5,3.4
2.6,270,6,4
2.6,80,4,3
2.34,100,5,4
3.06,120,6,5
3.42,70,6,4
3,370,8,4
2.8,120,6,5
3,180,6,5
3.1,300,6,4
2.72,120,12,3
3.14,70,6,4
2.63,240,6,4
3.09,10,6,4
2.94,30,7,4
2.8,5,10,4
2.8,5,5,3
2.6,90,8,4
2.8,180,10,4
2.62,225,7,3
3.29,60,5.5,5
3.35,300,6,4
2.38,45,5,4
2.5,480,8,2
2.57,87,4,2
2.5,240,6,4
3.3,120,6,4
2.4,100,5,5
2.55,180,6,4
3.24,180,5,3
3,140,7,3
2.49,170,4,5
2.86,165,7,5
2.06,120,7,5
2.2,150,4,5
2.77,60,6,5
1.09,180,8,4
2.44,50,7,5
2.35,60,5,4
2.51,120,4,4
2.75,120,4,5
2.8,240,6,3
2.96,120,6,4
2.8,170,4,3
3.39,80,4,4
2.28,235,6.5,4
3.06,5,4,3
2.62,30,8,5
2.66,130,4,5
3.03,90,2,4
3.1,60,4,3
2.69,5,6,4
2.53,300,4,4
2.5,180,5,4
3.47,180,6,5
2.56,200,8,4
2.7,180,5,3
2.8,120,7,4
2.29,240,12,5
3.27,250,6,5
2.68,120,6,5
3.45,180,4,5
3.3,60,6,5
2.88,120,6,5
3,15,10,5
3,5,10,4
2.8,120,6,5
3.66,40,3.5,4
3.12,240,6,4
2.6,100,4,2
2.85,5,4,5
2.9,90,8,5
3,240,6,4
2.7,120,6,5
2.85,90,10,5
2.42,60,6,3
2.55,170,5,5
2.59,120,4,4
2.48,280,7,4
2.9,6,10,4
2.82,100,8,4
3,180,6,5
2.7,120,6,4
2.54,120,4,5
2.8,190,6,4
2.9,240,10,5
3.14,120,6,5
2.4,5,10,4
2.97,90,4,4
2.6,150,8,4
2.57,270,5,4
2.8,150,6,5
2.67,60,6,5
2.66,120,10,3
2.68,90,6,2
3.74,240,10,5
2.88,75,5.6,4
2.3,90,6,4
3.18,240,6,4
3.5,120,6,4
3.93,225,4,4
3.16,90,6,5
2.5,5,6,4
2.94,120,8,5
2.23,300,5,4
2.69,150,5,3
2.6,120,6,4
2.85,120,9,4
2.23,230,6,4
2.9,50,6,5
2.33,120,8,4
2.7,200,5,2
3.18,75,6,3
3.6,240,6,4
2.04,240,4,5
2.6,180,5,5
2.85,90,5,5
3.2,240,5,5
2.9,240,8,4
3,105,3,5
2.9,150,8,2
2.9,150,8,4
3.4,100,6,5
2.41,100,6,7
2.5,120,4,4
3.31,240,6.5,5
2.68,60,6,5
2.8,120,2,5
3.2,150,6,4
3.43,130,4,4
2.66,85,6,4
2.89,60,8,4
2.9,80,4,5
2.03,5,6,3
2.5,210,6,5
3.1,120,4,5
2.9,150,8,3
2.8,320,5,5
2.05,5,8,6
2.83,90,6,5
2.9,60,8,4
2.45,160,8,5
2.5,200,4,4
3.06,120,5,5
2.4,300,6,5
1.88,90,4,5
3.38,320,8,4
3.48,30,4,5
2.71,240,8,4
2.6,105,5,4
2.5,105,7,4
2.23,50,6,4
3.1,20,6,5
2.85,6,10,2
3.15,40,4,3
2.93,75,3,1
2.83,40,5,3
3.2,240,4,5
2.8,90,4,4
3.01,360,6,4
2.6,120,6,3
2.8,90,6,6
2.07,120,5,5
3.1,120,6,4
2.61,180,2,2
3.19,210,6,5
3.1,120,4,4
2.55,240,8,4
2.8,20,2,2
2.9,50,4,3
2.88,200,7,4
3.4,180,9,5
2.9,200,3,3
3.12,160,5,4
3.46,180,6,4
3.5,150,6,4
2.98,40,7,4
3.14,240,6,4
2.19,300,10,5
2.8,250,7,4
2.19,105,4.4,5
2.2,100,4,4
2.91,100,4,4
3.7,180,6,5
3.19,270,5,5
2,5,7,4
1.7,5,4,3
3.6,240,8,4
3.03,120,4,5
2.68,120,4,4
2.5,45,3,1
2.65,35,4,2
3.3,200,6,4
